央视频道,#genre#
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
浙江卫视,https://play-qukan.cztv.com/live/1746687519046362.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
浙江卫视,http://58.57.40.22:9901/tsfile/live/1029_1.m3u8
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
北京卫视,http://58.57.40.22:9901/tsfile/live/1032_1.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
湖北卫视,http://58.57.40.22:9901/tsfile/live/1038_1.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://58.57.40.22:9901/tsfile/live/1030_1.m3u8
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
安徽卫视,http://58.57.40.22:9901/tsfile/live/1033_1.m3u8
东南卫视,https://live1-fuyun.fjtv.net/dnpd/hd/live.m3u8?_upt=d3909b121771851120
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
东南卫视,http://58.57.40.22:9901/tsfile/live/1037_1.m3u8
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
海南卫视,http://58.57.40.22:9901/tsfile/live/1000_1.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
贵州卫视,http://58.57.40.22:9901/tsfile/live/1042_1.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
河北卫视,http://58.57.40.22:9901/tsfile/live/1044_1.m3u8
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
河南卫视,http://58.57.40.22:9901/tsfile/live/1048_1.m3u8
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
江苏卫视,http://58.57.40.22:9901/tsfile/live/1031_1.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
辽宁卫视,http://58.57.40.22:9901/tsfile/live/1035_1.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
江西卫视,http://58.57.40.22:9901/tsfile/live/1043_1.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
吉林卫视,http://58.57.40.22:9901/tsfile/live/1050_1.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
陕西卫视,http://23.237.228.134/live6/sichuan.m3u8
陕西卫视,http://stream.snrtv.com/sxbc-star-zDGSWY.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
宁夏卫视,http://58.57.40.22:9901/tsfile/live/1054_1.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
四川卫视,http://39.152.103.17:8089/tsfile/live/1044_1.m3u8
四川卫视,http://58.57.40.22:9901/tsfile/live/1046_1.m3u8
青海卫视,http://58.57.40.22:9901/tsfile/live/1057_1.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
天津卫视,http://58.57.40.22:9901/tsfile/live/1034_1.m3u8
西藏卫视,http://36.32.174.67:60080/newlive/live/hls/48/live.m3u8
云南卫视,https://hwapi.yntv.net/ew265l/z1z6s5.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
云南卫视,http://58.57.40.22:9901/tsfile/live/1047_1.m3u8
新疆卫视,http://58.57.40.22:9901/tsfile/live/1055_1.m3u8
